skill
python
sql
javascript
typescript
react
angular
vue
node.js
express
next.js
java
c++
c#
c
go
golang
rust
ruby
php
swift
kotlin
scala
r
matlab
perl
html
css
sass
less
tailwind
bootstrap
jquery
redux
graphql
rest api
restful
microservices
machine learning
deep learning
artificial intelligence
natural language processing
nlp
computer vision
neural networks
tensorflow
pytorch
keras
scikit-learn
opencv
data analysis
data science
data engineering
data visualization
big data
etl
data pipeline
statistics
pandas
numpy
scipy
matplotlib
seaborn
tableau
power bi
docker
kubernetes
aws
azure
gcp
google cloud
cloud computing
terraform
ansible
jenkins
ci/cd
devops
linux
unix
bash
shell scripting
nginx
apache
git
github
gitlab
bitbucket
version control
agile
scrum
jira
confluence
mongodb
postgresql
mysql
sqlite
redis
elasticsearch
cassandra
dynamodb
firebase
supabase
oracle
sql server
nosql
database
api development
backend
frontend
full stack
web development
mobile development
ios
android
react native
flutter
figma
adobe xp
ui/ux
user experience
user interface
responsive design
cybersecurity
network security
penetration testing
encryption
blockchain
smart contracts
solidity
web3
hadoop
spark
kafka
airflow
snowflake
databricks
communication
leadership
teamwork
problem solving
project management
critical thinking
time management
presentation
technical writing
fastapi
flask
django
spring boot
spring
.net
asp.net
ruby on rails
laravel
unity
unreal engine
game development
embedded systems
iot
robotics
rpa
sap
salesforce
power automate
excel
word
powerpoint
office 365
google workspace
photoshop
illustrator
after effects
premiere pro
blender
autocad
solidworks
